year,ahw_frequency_mean,ahw_frequency_sd,rhw_frequency_mean,rhw_frequency_sd,ahw_duration_mean,ahw_duration_sd,rhw_duration_mean,rhw_duration_sd,ahw_intensity_mean,ahw_intensity_sd,rhw_intensity_mean,rhw_intensity_sd
1981,3.742462312,1.947877589,1.329145729,1.106038598,16.34798995,10.53378191,11.27512563,9.841249173,28.28994146,16.00339837,4.258341332,3.939105085
1982,2.763819095,1.634120324,1.320351759,1.101227217,11.76507538,7.364783537,8.836683417,7.895896845,22.74263844,14.71698358,5.619184171,5.492978235
1983,3.778894472,2.128145153,1.494974874,1.319061976,17.87688442,12.20202299,11.95603015,12.16343174,25.22831407,15.8014989,4.867014322,5.400015769
1984,3.302763819,1.98677598,1.188442211,1.494434259,14.57286432,10.24613997,9.366834171,12.12367614,26.06343178,16.70140965,5.111939573,6.9616892
1985,3.217336683,1.705518958,1.452261307,1.194199722,14.9120603,8.723404969,12.06155779,11.7042697,23.12338907,14.20494115,5.458584799,5.371371811
1986,4.164572864,2.299617882,1.746231156,1.41986034,19.32035176,14.0558519,13.73241206,13.62657044,31.26576281,15.98766268,6.481673492,5.279695734
1987,4.521356784,2.325475294,1.895728643,1.461544528,21.78140704,11.40703988,16.34547739,13.83798908,33.81130666,22.44282161,6.481720101,6.139370207
1988,3.787688442,2.860473866,1.516331658,1.131319597,20.08165829,16.96225829,14.65829146,13.1886703,26.05748254,21.90318271,4.940963568,4.806214879
1989,5.432160804,1.598262516,1.713567839,1.123466832,25.25753769,8.008020851,11.19221106,8.002009147,42.26011093,11.30716486,5.432950377,3.513865398
1990,6.854271357,2.556176744,2.425879397,1.290001599,32.49623116,10.29569046,19.4861809,11.24056545,56.01902613,22.24006278,9.12534196,6.240005345
1991,4.522613065,3.597282783,2.00879397,1.87851461,19.83291457,15.8660686,14.72361809,14.7904626,34.00596018,29.19796258,7.465019724,7.994233598
1992,3.10678392,2.316079734,1.520100503,1.309358656,12.97738693,9.827506838,13.57914573,15.22964965,24.77503078,20.40589774,5.157139573,4.280968729
1993,2.737437186,1.696184149,0.787688442,0.903037411,13.07788945,8.927483598,5.983668342,7.488918756,17.41676482,10.80580963,2.252012563,2.778866407
1994,4.739949749,2.056723744,2.159547739,1.889782577,18.93592965,8.703933467,17.12311558,16.36033991,34.260069970000004,14.7747346,5.881907412,4.805902461
1995,4.173366834,1.961333313,1.832914573,1.442698493,19.00502513,10.60624519,14.05150754,12.38884691,29.98349975,15.50689493,5.665803266,4.78407786
1996,3.756281407,2.511460814,0.968592965,1.151912777,15.70854271,12.87982636,5.569095477,7.87474174,28.67697802,18.18611602,3.177196106,4.088983043
1997,2.654522613,1.408870729,0.854271357,0.827522394,12.21231156,5.92489842,6.874371859,6.330058823,20.04179548,10.37565195,3.138927889,3.198642787
1998,5.771356784,1.971654324,3.394472362,2.120175777,33.83040201,13.67516659,27.84045226,20.91994604,41.78348405,13.69903939,12.54675791,9.732048304
1999,5.301507538,2.288170966,1.772613065,1.187160671,24.73241206,12.51903093,13.1821608,9.807223948,38.70039673,17.07778187,6.100667211,4.391512728
2000,5.625628141,1.843921559,2.798994975,1.662413029,26.34798995,11.48007925,23.75251256,15.40949607,42.968937940000004,12.11078469,9.687919975,6.174850766
2001,4.471105528,2.071684985,2.158291457,1.312892811,19.86809045,9.917825021,18.06030151,12.11964566,33.71786219,16.94477115,7.881779648,5.624022195
2002,5.609296482,1.947002336,3.148241206,1.778044327,27.17713568,10.44463892,25.47613065,14.91131853,40.97559158,15.22450376,10.4375,6.626322247
2003,5.057788945,2.51960696,2.472361809,1.819213467,26.15577889,16.24346345,26.42713568,23.46457754,38.03593882,19.26301927,7.714496231,5.455882348
2004,3.522613065,1.423330797,1.546482412,1.074650902,14.09798995,7.509153274,10.72864322,7.705100684,28.50880352,10.66891794,5.829988819,4.540292868
2005,5.319095477,1.811101219,2.064070352,1.584207715,24.09798995,9.158319719,16.04773869,12.51141117,37.80512889,13.82272477,6.487237186,5.523125494
2006,6.287688442,2.084616828,3.300251256,1.595077206,28.47738693,12.07881326,27.41331658,14.72516301,45.96586394,17.60972013,10.3346348,6.08601816
2007,6.103015075,2.326262764,3.849246231,1.780657361,30.36809045,12.87635193,37.16834171,19.42914722,44.48519158,17.76270013,13.23597073,6.688569456
