year,Rhw_count,Ahw_count,Rhw_duration,Ahw_duration,Rhw_intensity,Ahw_intensity
1981,1.329145729,3.742462312,11.27512563,16.34798995,4.258341332,28.28994146
1982,1.320351759,2.763819095,8.836683417,11.76507538,5.619184171,22.74263844
1983,1.494974874,3.778894472,11.95603015,17.87688442,4.867014322,25.22831407
1984,1.188442211,3.302763819,9.366834171,14.57286432,5.111939573,26.06343178
1985,1.452261307,3.217336683,12.06155779,14.9120603,5.458584799,23.12338907
1986,1.746231156,4.164572864,13.73241206,19.32035176,6.481673492,31.26576281
1987,1.895728643,4.521356784,16.34547739,21.78140704,6.481720101,33.81130666
1988,1.516331658,3.787688442,14.65829146,20.08165829,4.940963568,26.05748254
1989,1.713567839,5.432160804,11.19221106,25.25753769,5.432950377,42.26011093
1990,2.425879397,6.854271357,19.4861809,32.49623116,9.12534196,56.01902613
1991,2.00879397,4.522613065,14.72361809,19.83291457,7.465019724,34.00596018
1992,1.520100503,3.10678392,13.57914573,12.97738693,5.157139573,24.77503078
1993,0.787688442,2.737437186,5.983668342,13.07788945,2.252012563,17.41676482
1994,2.159547739,4.739949749,17.12311558,18.93592965,5.881907412,34.260069970000004
1995,1.832914573,4.173366834,14.05150754,19.00502513,5.665803266,29.98349975
1996,0.968592965,3.756281407,5.569095477,15.70854271,3.177196106,28.67697802
1997,0.854271357,2.654522613,6.874371859,12.21231156,3.138927889,20.04179548
1998,3.394472362,5.771356784,27.84045226,33.83040201,12.54675791,41.78348405
1999,1.772613065,5.301507538,13.1821608,24.73241206,6.100667211,38.70039673
2000,2.798994975,5.625628141,23.75251256,26.34798995,9.687919975,42.968937940000004
2001,2.158291457,4.471105528,18.06030151,19.86809045,7.881779648,33.71786219
2002,3.148241206,5.609296482,25.47613065,27.17713568,10.4375,40.97559158
2003,2.472361809,5.057788945,26.42713568,26.15577889,7.714496231,38.03593882
2004,1.546482412,3.522613065,10.72864322,14.09798995,5.829988819,28.50880352
2005,2.064070352,5.319095477,16.04773869,24.09798995,6.487237186,37.80512889
2006,3.300251256,6.287688442,27.41331658,28.47738693,10.3346348,45.96586394
2007,3.849246231,6.103015075,37.16834171,30.36809045,13.23597073,44.48519158
2008,1.248743719,3.440954774,8.032663317,13.63819095,3.770030402,27.11698693
2009,1.359296482,3.236180905,10.20603015,13.85929648,3.711605779,24.51531872
2010,2.541457286,4.798994975,21.87562814,21.8040201,8.314745603,33.3120559
2011,2.625628141,5.273869347,25.69849246,28.80025126,7.530081533,35.5473343
2012,4.374371859,6.9221105530000004,46.81407035,36.85050251,15.85362136,53.05415754
2013,1.899497487,3.756281407,15.41834171,16.52638191,5.877252387,27.59683731
2014,2.680904523,3.493718593,25.40577889,14.17964824,7.096973869,24.92907312
2015,4.432160804,6.281407035,40.64447236,35.26130653,15.59508317,48.85734146
2016,3.938442211,6.287688442,33.91457286,28.79145729,13.37840013,46.64230063
2017,4.247487437,5.806532663,36.15326633,26.79773869,15.46836859,45.2182245
2018,4.743718593,5.418341709,49.58165829,26.8241206,14.79815528,36.07402374
2019,2.863065327,4.587939698,23.91708543,21.99874372,8.647312186,33.27823618
