year,scenario,event_type,mean_duration
1981,SSP2-4.5,AHWs_duration,16.347989949748744
1982,SSP2-4.5,AHWs_duration,11.765075376884422
1983,SSP2-4.5,AHWs_duration,17.876884422110553
1984,SSP2-4.5,AHWs_duration,14.57286432160804
1985,SSP2-4.5,AHWs_duration,14.912060301507536
1986,SSP2-4.5,AHWs_duration,19.32035175879397
1987,SSP2-4.5,AHWs_duration,21.78140703517588
1988,SSP2-4.5,AHWs_duration,20.081658291457288
1989,SSP2-4.5,AHWs_duration,25.257537688442213
1990,SSP2-4.5,AHWs_duration,32.496231155778894
1991,SSP2-4.5,AHWs_duration,19.83291457286432
1992,SSP2-4.5,AHWs_duration,12.977386934673367
1993,SSP2-4.5,AHWs_duration,13.07788944723618
1994,SSP2-4.5,AHWs_duration,18.935929648241206
1995,SSP2-4.5,AHWs_duration,19.00502512562814
1996,SSP2-4.5,AHWs_duration,15.70854271356784
1997,SSP2-4.5,AHWs_duration,12.212311557788944
1998,SSP2-4.5,AHWs_duration,33.83040201005025
1999,SSP2-4.5,AHWs_duration,24.732412060301503
2000,SSP2-4.5,AHWs_duration,26.347989949748744
2001,SSP2-4.5,AHWs_duration,19.868090452261303
2002,SSP2-4.5,AHWs_duration,27.17713567839196
2003,SSP2-4.5,AHWs_duration,26.155778894472363
2004,SSP2-4.5,AHWs_duration,14.097989949748744
2005,SSP2-4.5,AHWs_duration,24.097989949748744
2006,SSP2-4.5,AHWs_duration,28.477386934673365
2007,SSP2-4.5,AHWs_duration,30.368090452261303
2008,SSP2-4.5,AHWs_duration,13.638190954773869
2009,SSP2-4.5,AHWs_duration,13.85929648241206
2010,SSP2-4.5,AHWs_duration,21.804020100502512
2011,SSP2-4.5,AHWs_duration,28.80025125628141
2012,SSP2-4.5,AHWs_duration,36.85050251256281
2013,SSP2-4.5,AHWs_duration,16.526381909547737
2014,SSP2-4.5,AHWs_duration,14.17964824120603
2015,SSP2-4.5,AHWs_duration,35.26130653266332
2016,SSP2-4.5,AHWs_duration,28.79145728643216
2017,SSP2-4.5,AHWs_duration,26.797738693467338
2018,SSP2-4.5,AHWs_duration,26.824120603015075
2019,SSP2-4.5,AHWs_duration,22.036809045226132
2020,SSP2-4.5,AHWs_duration,52.02010050251256
2021,SSP2-4.5,AHWs_duration,55.07650753768844
2022,SSP2-4.5,AHWs_duration,52.62110552763819
2023,SSP2-4.5,AHWs_duration,60.62386934673367
2024,SSP2-4.5,AHWs_duration,56.189824120603014
2025,SSP2-4.5,AHWs_duration,59.51645728643216
2026,SSP2-4.5,AHWs_duration,59.46582914572864
2027,SSP2-4.5,AHWs_duration,69.65628140703518
2028,SSP2-4.5,AHWs_duration,68.35992462311557
2029,SSP2-4.5,AHWs_duration,68.6824120603015
2030,SSP2-4.5,AHWs_duration,69.03467336683417
2031,SSP2-4.5,AHWs_duration,68.19032663316582
2032,SSP2-4.5,AHWs_duration,64.06746231155779
2033,SSP2-4.5,AHWs_duration,73.69334170854272
2034,SSP2-4.5,AHWs_duration,63.87613065326633
2035,SSP2-4.5,AHWs_duration,65.70904522613066
2036,SSP2-4.5,AHWs_duration,70.80515075376884
2037,SSP2-4.5,AHWs_duration,64.48266331658292
2038,SSP2-4.5,AHWs_duration,71.6247487437186
2039,SSP2-4.5,AHWs_duration,70.62097989949748
2040,SSP2-4.5,AHWs_duration,71.42952261306533
2041,SSP2-4.5,AHWs_duration,71.73090452261306
2042,SSP2-4.5,AHWs_duration,76.16168341708543
2043,SSP2-4.5,AHWs_duration,78.6143216080402
2044,SSP2-4.5,AHWs_duration,81.81557788944724
2045,SSP2-4.5,AHWs_duration,82.70087939698493
2046,SSP2-4.5,AHWs_duration,82.69346733668343
2047,SSP2-4.5,AHWs_duration,84.73542713567839
2048,SSP2-4.5,AHWs_duration,87.23040201005026
2049,SSP2-4.5,AHWs_duration,91.53429648241206
2050,SSP2-4.5,AHWs_duration,94.48919597989948
2051,SSP2-4.5,AHWs_duration,90.84020100502512
