ID,lon_deg,lat_deg,area_km2,elev_gage,elev_mean,elev_median,elev_std,slope_mean_pct
CE1,10.0618429,47.1289938,66.6,1014,1894,1907,378,39.3
CE2,9.5788799,47.2603622,1281,434,1610,1670,559,36.5
CE3,9.6626664,47.4516436,6301.1,394,1769,1845,635,34.3
CE4,9.6817728,47.462736,195.6,395,760,673,352,19
CE5,9.736173,47.5371001,102.4,397,634,611,133,8.9
CE6,10.2935054,47.2418781,247.9,1109,1938,1950,309,38.1
CE7,10.6507248,47.5515276,198.1,807,1275,1237,295,27.4
CE8,11.2639945,47.3895651,203.6,957,1769,1765,388,47.8
CE9,11.1127787,47.3632554,45,1184,1782,1731,337,40.6
CE10,10.5627265,47.1434408,727,775,2125,2200,463,38.5
CE11,11.0220351,46.8686199,72.5,1879,2776,2825,317,35.6
CE12,10.8758535,47.2592781,5118.8,653,2212,2287,551,37.9
CE13,11.2326724,47.2252971,204.7,814,2155,2200,469,39.6
CE14,11.3809389,47.2621088,5771.6,568,2138,2230,601,37.4
CE15,11.452446,47.1130534,341.8,1005,1912,1907,425,39.1
CE16,11.4590172,47.1159003,61.5,1009,1923,1948,388,33.8
CE17,11.4114191,47.2729078,854.4,567,1899,1901,547,37.8
CE18,11.7892005,47.3890621,7230.7,522,2046,2130,633,37
CE19,11.8597141,47.1687369,610.9,622,2130,2182,518,43.3
CE20,11.8800582,47.2347474,696.3,570,2057,2118,559,42
CE21,11.8650793,47.4547274,272.6,529,1238,1230,261,33.5
CE22,12.1039335,47.4905795,322.3,524,1325,1293,433,28.6
CE23,12.0933214,47.5227727,9310,484,1940,2007,660,36.3
CE24,12.3894674,47.4547663,153,735,1407,1434,337,29.5
CE25,12.4024452,47.5193125,147.4,669,1262,1224,378,27.4
CE26,12.4155806,47.6625816,701.4,589,1200,1163,358,27.8
CE27,12.4801727,47.2832179,582.6,783,1912,1933,574,36.6
CE28,12.99054,47.2408261,242.2,917,1862,1854,470,37.8
CE29,13.1086162,47.1630483,220.7,837,1890,1935,463,39.7
CE30,13.1202128,47.3101325,2143,598,1740,1726,569,36.8
CE31,13.1964504,47.2373111,144.6,880,1695,1720,375,39.4
CE32,13.3846947,47.5738642,171.7,628,1208,1154,321,29.8
CE33,13.1819768,47.5837975,394.5,471,1196,1139,398,31.1
CE34,13.1634548,47.5957831,3555.7,463,1576,1528,563,35.4
CE35,13.0368026,47.8163249,4425.7,408,1479,1419,584,34.3
CE36,12.7356666,47.3656989,150.8,846,1534,1547,289,31.5
CE37,12.974212,47.8115574,1139.1,416,1193,1166,426,31.9
CE38,12.9267457,47.9396461,6120,387,1339,1274,599,31.4
CE39,13.1174881,48.0010163,66.6,498,563,564,51,6.2
CE40,13.1445406,48.0767414,136,455,553,541,56,6.1
CE41,13.071611,48.2526309,446.9,350,551,550,87,7.4
CE42,13.2017212,48.280602,314.9,328,495,484,88,7.4
CE43,13.4625106,48.4313023,340.9,308,422,403,73,6.1
CE44,13.9224123,48.4572142,200.2,284,601,585,86,12.1
CE45,14.0194411,48.604649,256.4,504,760,708,169,10.8
CE46,13.720889,47.5638763,317.4,526,1325,1347,427,26.8
CE47,13.6298631,47.6130756,615.2,506,1380,1406,485,28.8
CE48,13.6282789,47.7102124,720.2,459,1309,1286,495,28.8
CE49,13.7636834,47.8044545,1223.4,422,1185,1116,469,29.8
CE50,13.6075632,47.953726,462.9,466,700,666,212,16.6
CE51,13.6581654,48.0098342,447.1,419,603,581,98,9
CE52,13.6838475,47.9987984,949.9,411,647,602,173,12.7
CE53,13.8379122,48.0858765,1256.1,348,623,579,174,12.3
CE54,13.8760023,48.0900637,2740.9,341,882,725,445,20.9
CE55,13.9859426,47.9469692,326.1,442,912,853,323,32.3
CE56,13.922613,48.0529109,445,358,813,748,328,26.2
CE57,13.9958008,48.1410201,3387.1,309,844,700,432,20.6
CE58,14.10345,47.9087731,40.5,414,655,600,225,21.2
CE59,14.1323595,48.0515649,147.2,339,529,464,169,12.3
CE60,14.2663909,48.1997699,365.3,270,440,404,136,8
CE61,14.446724,48.2783796,257.7,247,548,557,166,10.2
CE62,13.6972034,47.3973557,648.8,725,1504,1492,404,32.9
CE63,14.0942644,47.5036731,194.3,644,1467,1511,359,33.6
CE64,14.1482365,47.5254867,155.9,644,1430,1453,338,33.4
CE65,14.251559,47.5517882,2132,627,1419,1421,421,31.9
CE66,14.3056339,47.5478197,368.7,633,1316,1321,376,31
CE67,14.4620946,47.5811806,2651,617,1382,1377,421,31.5
CE68,14.4162575,48.0254648,4996.1,286,1191,1140,436,32.1
CE69,14.1081829,47.6684783,25.2,643,1343,1319,425,44.2
CE70,14.3555029,48.0505777,898.1,302,938,851,396,30.9
CE71,14.4251555,48.0434719,5915.4,281,1149,1093,441,31.9
CE72,14.5783892,48.2898482,604.7,253,687,683,162,11.1
CE73,14.6828765,48.2086119,303.1,234,688,725,193,12.1
CE74,15.0026491,48.202947,164.7,233,712,714,186,14.7
