year,scenario,event_type,mean_duration,sd_duration
1981,SSP2-4.5,AHWs_duration,16.347989949748744,0
1982,SSP2-4.5,AHWs_duration,11.765075376884422,0
1983,SSP2-4.5,AHWs_duration,17.876884422110553,0
1984,SSP2-4.5,AHWs_duration,14.57286432160804,0
1985,SSP2-4.5,AHWs_duration,14.912060301507537,0
1986,SSP2-4.5,AHWs_duration,19.32035175879397,0
1987,SSP2-4.5,AHWs_duration,21.781407035175878,0
1988,SSP2-4.5,AHWs_duration,20.081658291457288,0
1989,SSP2-4.5,AHWs_duration,25.257537688442213,0
1990,SSP2-4.5,AHWs_duration,32.496231155778894,0
1991,SSP2-4.5,AHWs_duration,19.832914572864322,0
1992,SSP2-4.5,AHWs_duration,12.977386934673367,0
1993,SSP2-4.5,AHWs_duration,13.077889447236181,0
1994,SSP2-4.5,AHWs_duration,18.935929648241206,0
1995,SSP2-4.5,AHWs_duration,19.00502512562814,0
1996,SSP2-4.5,AHWs_duration,15.708542713567839,0
1997,SSP2-4.5,AHWs_duration,12.212311557788945,0
1998,SSP2-4.5,AHWs_duration,33.83040201005025,0
1999,SSP2-4.5,AHWs_duration,24.732412060301506,0
2000,SSP2-4.5,AHWs_duration,26.347989949748744,0
2001,SSP2-4.5,AHWs_duration,19.868090452261306,0
2002,SSP2-4.5,AHWs_duration,27.17713567839196,0
2003,SSP2-4.5,AHWs_duration,26.155778894472363,0
2004,SSP2-4.5,AHWs_duration,14.097989949748744,0
2005,SSP2-4.5,AHWs_duration,24.097989949748744,0
2006,SSP2-4.5,AHWs_duration,28.477386934673365,0
2007,SSP2-4.5,AHWs_duration,30.368090452261306,0
2008,SSP2-4.5,AHWs_duration,13.638190954773869,0
2009,SSP2-4.5,AHWs_duration,13.859296482412061,0
2010,SSP2-4.5,AHWs_duration,21.804020100502512,0
2011,SSP2-4.5,AHWs_duration,28.800251256281406,0
2012,SSP2-4.5,AHWs_duration,36.85050251256281,0
2013,SSP2-4.5,AHWs_duration,16.526381909547737,0
2014,SSP2-4.5,AHWs_duration,14.17964824120603,0
2015,SSP2-4.5,AHWs_duration,35.26130653266332,0
2016,SSP2-4.5,AHWs_duration,28.79145728643216,0
2017,SSP2-4.5,AHWs_duration,26.797738693467338,0
2018,SSP2-4.5,AHWs_duration,26.824120603015075,0
2019,SSP2-4.5,AHWs_duration,22.036809045226132,0.03504124449757712
2020,SSP2-4.5,AHWs_duration,52.02010050251256,10.694471739040075
2021,SSP2-4.5,AHWs_duration,55.07650753768844,15.097477952036709
2022,SSP2-4.5,AHWs_duration,52.62110552763819,11.030391822665283
2023,SSP2-4.5,AHWs_duration,60.62386934673367,16.28509868036781
2024,SSP2-4.5,AHWs_duration,56.189824120603014,13.035956993393029
2025,SSP2-4.5,AHWs_duration,59.516457286432164,7.9436472523031565
2026,SSP2-4.5,AHWs_duration,59.46582914572864,12.426776769409896
2027,SSP2-4.5,AHWs_duration,69.65628140703518,21.649786935421158
2028,SSP2-4.5,AHWs_duration,68.35992462311557,19.925271232575472
